City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,camacha,33.0833,-16.3333,14.68,67,40,7.72,PT,1675556609
1,castro,-24.7911,-50.0119,16.92,95,86,2.54,BR,1675556483
2,zhanaozen,43.3,52.8,-2.08,85,47,2.58,KZ,1675556647
3,hobart,-42.8794,147.3294,21.81,51,10,0.45,AU,1675556648
4,saint-paul,-21.0096,55.2707,26.05,81,89,0.51,RE,1675556648
5,yar-sale,66.8333,70.8333,-13.62,97,96,2.87,RU,1675556649
6,monte patria,-30.6919,-70.9467,24.51,53,1,2.39,CL,1675556650
7,pisco,-13.7,-76.2167,22.03,94,48,2.57,PE,1675556374
8,enid,36.3956,-97.8784,14.09,44,0,7.72,US,1675556460
9,cape town,-33.9258,18.4232,21.6,90,75,5.66,ZA,1675556410
10,albany,42.6001,-73.9662,-10.43,50,61,0.45,US,1675556552
11,walvis bay,-22.9575,14.5053,17.83,81,100,4.58,NA,1675556537
12,souillac,-20.5167,57.5167,26.21,83,40,1.54,MU,1675556378
13,severo-kurilsk,50.6789,156.125,-2.24,71,100,2.7,RU,1675556654
14,cidreira,-30.1811,-50.2056,23.48,70,61,2.7,BR,1675556655
15,broome,42.2506,-75.833,-6.88,57,0,5.36,US,1675556656
16,ushuaia,-54.8,-68.3,12.81,62,75,5.66,AR,1675556360
17,ribeira grande,38.5167,-28.7,16.54,89,38,4.92,PT,1675556658
18,svetlogorsk,52.6333,29.7333,-5.82,93,95,4.88,BY,1675556608
19,turukhansk,65.8167,87.9833,-13.34,96,98,3.15,RU,1675556565
20,punta arenas,-53.15,-70.9167,13.06,88,0,10.8,CL,1675556659
21,puerto colombia,10.9878,-74.9547,25.05,85,8,10.35,CO,1675556555
22,atuona,-9.8,-139.0333,25.88,75,28,7.75,PF,1675556521
23,bengkulu,-3.8004,102.2655,23.65,89,100,2.05,ID,1675556661
24,ruwi,23.5996,58.5507,19.83,67,0,1.29,OM,1675556441
25,jamestown,42.097,-79.2353,-3.23,36,0,6.17,US,1675556624
26,yellowknife,62.456,-114.3525,-25.71,70,75,2.06,CA,1675556413
27,moindou,-21.6924,165.677,30.68,66,74,2.77,NC,1675556662
28,talnakh,69.4865,88.3972,-11.55,96,100,3.19,RU,1675556663
29,bredasdorp,-34.5322,20.0403,20.36,90,2,3.33,ZA,1675556663
30,east london,-33.0153,27.9116,23.54,80,100,4.76,ZA,1675556664
31,hilo,19.7297,-155.09,26.85,72,75,5.14,US,1675556664
32,alice springs,-23.7,133.8833,23.75,33,1,4.12,AU,1675556616
33,vaini,-21.2,-175.2,30.09,74,75,8.23,TO,1675556665
34,smithers,54.7804,-127.1743,4.18,81,100,2.06,CA,1675556666
35,qaanaaq,77.484,-69.3632,-20.37,59,60,1.23,GL,1675556666
36,beringovskiy,63.05,179.3167,-26.75,84,65,7.02,RU,1675556668
37,prieska,-29.6641,22.7474,25.59,39,71,5.48,ZA,1675556669
38,san patricio,28.017,-97.5169,19.05,68,29,3.46,US,1675556444
39,atbasar,51.8,68.3333,-14.41,95,72,4.92,KZ,1675556495
40,ilhabela,-23.7781,-45.3581,26.22,81,78,2.52,BR,1675556670
41,korla,41.7597,86.1469,-4.22,73,50,0.24,CN,1675556670
42,tilichiki,60.4667,166.1,-25.12,95,39,3.58,RU,1675556671
43,pathein,16.7833,94.7333,20.77,70,36,2.32,MM,1675556671
44,tahta,26.7693,31.5021,11.82,51,44,2.61,EG,1675556672
45,shiraz,29.6036,52.5388,3.69,60,0,0.0,IR,1675556672
46,giraltovce,49.114,21.5173,-3.25,85,55,5.08,SK,1675556673
47,nouadhibou,20.931,-17.0347,18.99,30,89,7.72,MR,1675556673
48,provideniya,64.3833,-173.3,-18.87,90,97,4.72,RU,1675556673
49,kloulklubed,7.0419,134.2556,28.28,78,99,8.37,PW,1675556674
50,saint-philippe,-21.3585,55.7679,24.77,86,99,4.53,RE,1675556674
